,Book-Author,Book-Title,Title-Substring,ISBN
3208,maeve binchy,quentins,quentins,0451209907
4068,maeve binchy,quentins,quentins,0525946829
2785,maeve binchy,scarlet feather,scarlet feather,0525945938
5243,maeve binchy,scarlet feather,scarlet feather,0451203771
5885,maeve binchy,silver wedding,silver wedding,0440207770
2584,maeve binchy,tara road,tara road,0440235596
7941,maeve binchy,tara road,tara road,0385335121
6497,maeve binchy,the copper beech,the copper beech,0440213290
13774,maeve binchy,the copper beech,the copper beech,0385307756
3519,maeve binchy,the glass lake,the glass lake,0440221595
14183,maeve binchy,the glass lake,the glass lake,0385313543
6673,maeve binchy,the lilac bus : stories,the lilac bus,0440213029
21,maeve binchy,this year it will be different : and other stories,this year it will be different,0440223571
10512,maeve binchy,this year it will be different : and other stories : a christmas treasury,this year it will be different,0385315031
13116,magdalen nabb,alta moda,alta moda,3257232861
6447,maggie alderson,pants on fire,pants on fire,014100374X
13545,maggie goswami,the self - aware universe : how consciousness creates the material world,the self - aware universe,0874777984
10256,maggie o'farrell,after you'd gone,after you'd gone,0142000329
14903,maggie osborne,prairie moon,prairie moon,0804119902
1494,maggie shayne,edge of twilight,edge of twilight,0778320227
1493,maggie shayne,embrace the twilight,embrace the twilight,1551666685
13874,maggie shayne,enemy mind,enemy mind,0373613687
5066,maggie shayne,the gingerbread man,the gingerbread man,0515131679
2805,maggie shayne,thicker than water,thicker than water,1551667371
11920,maggie shayne,twilight hunger,twilight hunger,1551668866
16057,maggie shayne,twilight phantasies ( shadows ( silhouette ) ),twilight phantasies,0373270186
8076,maggie shayne,two by twilight ( 2 novels in 1 ),two by twilight,0373218095
8103,magnus mills,the restraint of beasts,the restraint of beasts,0684865114
17967,maitena,mujeres alteradas 1,mujeres alteradas 1,9500723549
135,malachy mccourt,a monk swimming,a monk swimming,0786863986
1981,malachy mccourt,a monk swimming : a memoir,a monk swimming,0786884142
10105,malachy mccourt,monk swimming,monk swimming,0330361120
9506,malachy mccourt,singing my him song,singing my him song,0060195932
2027,malcolm gladwell,the tipping point : how little things can make a big difference,the tipping point,0316316962
2090,malcolm gladwell,the tipping point : how little things can make a big difference,the tipping point,0316346624
12857,malcolm godwin,who are you ? : 101 ways of seeing yourself,who are you,0140196099
14690,malcolm pryce,aberystwyth mon amour,aberystwyth mon amour,0747557861
7725,malcolm x,the autobiography of malcolm x,the autobiography of malcolm x,0345350685
13334,malcolm x,the autobiography of malcolm x,the autobiography of malcolm x,0345376714
17891,malcom bradbury,the penguin book of modern british short stories,the penguin book of modern british short stories,0140063064
11958,malika oufkir,stolen lives : twenty years in a desert jail ( oprah's book club ( paperback ) ),stolen lives,0786886307
2933,malika oufkir,stolen lives : twenty years in a desert jail,stolen lives,0786868619
4022,mallory kane,bodyguard / husband : ultimate agents ( harlequin intrigue series ),bodyguard / husband,0373227388
15207,mameve medwed,mail,mail,0446673757
2342,manil suri,the death of vishnu : a novel,the death of vishnu,006000438X
9606,manil suri,the death of vishnu : a novel,the death of vishnu,0393050424
12271,manuel j . smith,"when i say no , i feel guilty","when i say no , i feel guilty",0553263900
4583,manuel jorge marmelo,as mulheres deviam vir com livro de instrucoes ( campo da literatura ),as mulheres deviam vir com livro de instrucoes,9726101794
6984,manuel montalban vazquez,milenium,milenium,8408050133
16696,manuel rivas,el lapiz del carpintero,el lapiz del carpintero,849550152X
5563,manuel rivas,"e me quieres , amor ?","e me quieres , amor",8495501104
2495,manuel vicent,son de mar,son de mar,8495501112
1956,manuel de pedrolo,mecanoscrit del segon origen ( el trapezi ; 24 ),mecanoscrit del segon origen,8429710329
9079,mara leveritt,devil's knot : the true story of the west memphis three,devil's knot,0743417593
16428,marc abrahams,the ig nobel prizes : the annals of improbable research,the ig nobel prizes,0525947531
5451,marc levy,et si c'etait vrai / if this were only true,et si c'etait vrai / if this were only true,2266104535
10875,marc levy,et si cetait vrai,et si cetait vrai,2221090810
416,marc levy,if only it were true,if only it were true,0743406176
11672,marc levy,if only it were true,if only it were true,0743406184
6436,marc levy,ou es - tu ?,ou es - tu,226612269X
4456,marc levy,solange du da bist,solange du da bist,3746618363
13715,marc okrand,the klingon dictionary ( star trek : all ),the klingon dictionary,067174559X
18015,marc reisner,cadillac desert : the american west and its disappearing water,cadillac desert,0140178244
12089,marc shapiro,j . k . rowling : the wizard behind harry potter,j . k . rowling,0312272243
11542,marc tolon brown,"arthur's reading race ( step - into - reading , step 3 )",arthur's reading race,0679967389
16626,marc tolon brown,emergency ! : true stories from the nation's ers ( emergency ! ),emergency,0312962657
15605,marcel ayme,les contes du chat perche,les contes du chat perche,2070363430
18114,marcel beyer,flughunde : roman,flughunde,3518406841
15374,marcel pagnol,my father's glory and my mother's castle,my father's glory and my mother's castle,0865472572
2959,marcelle karp,the bust guide to the new girl order,the bust guide to the new girl order,0140277749
10488,marcia clark,without a doubt,without a doubt,0670870897
16503,marcia evanick,catch of the day,catch of the day,0821772414
14002,marcia muller,a walk through the fire,a walk through the fire,0446608165
2755,marcia muller,a wild and lonely place ( sharon mccone mysteries ( paperback ) ),a wild and lonely place,0446603287
17266,marcia muller,cyanide wells,cyanide wells,0892967811
5710,marcia muller,dead midnight ( sharon mccone mysteries ( hardcover ) ),dead midnight,089296765X
12442,marcia muller,dead midnight ( sharon mccone mysteries ( paperback ) ),dead midnight,0446612529
14004,marcia muller,listen to the silence ( sharon mccone mysteries ( hardcover ) ),listen to the silence,0892966890
11516,marcia muller,pennies on a dead woman's eyes,pennies on a dead woman's eyes,0446400335
11030,marcia muller,point deception,point deception,0446611360
17352,marcia muller,point deception,point deception,0892966904
7541,marcia muller,the broken promise land,the broken promise land,0446604100
3332,marcia muller,the cheshire cat's eye,the cheshire cat's eye,0445408502
8083,marcia muller,the shape of dread,the shape of dread,0445409169
1837,marcia muller,where echoes live,where echoes live,0446401617
8010,marcia muller,wolf in the shadows,wolf in the shadows,0446403830
13593,marcia talley,naked came the phoenix,naked came the phoenix,0312980191
10566,marcia talley,naked came the phoenix : a serial novel,naked came the phoenix,0312251947
14993,marcia talley,occasion of revenge,occasion of revenge,0440235200
10882,marcus aurelius,meditations ( penguin classics ),meditations,0140441409
17448,marcus j . borg,meeting jesus again for the first time : the historical jesus and the heart of contemporary faith,meeting jesus again for the first time,0060609176
11045,marcy sheiner,herotica 5 : a new collection of women's erotic fiction,herotica 5,0452278120
8349,marg stark,"what no one tells the bride : surviving the wedding , sex after the honeymoon",what no one tells the bride,078688262X
1072,margaret atwood,alias grace,alias grace,0385475713
13207,margaret atwood,alias grace,alias grace,1860492592
808,margaret atwood,alias grace : a novel,alias grace,0385490445
15952,margaret atwood,blind assassin,blind assassin,0747549370
3066,margaret atwood,bluebeard's egg and other stories,bluebeard's egg and other stories,0449214176
10891,margaret atwood,bluebeard's egg : stories,bluebeard's egg,0385491042
6757,margaret atwood,bodily harm,bodily harm,0385491077
8178,margaret atwood,cat's eye,cat's eye,0385491026
8339,margaret atwood,cat's eye,cat's eye,0385260075
1763,margaret atwood,cats eye,cats eye,1853811262
3191,margaret atwood,lady oracle,lady oracle,0449213765
226,margaret atwood,life before man,life before man,0449213773
4167,margaret atwood,life before man,life before man,0445046368
7130,margaret atwood,life before man,life before man,0385491107
250,margaret atwood,oryx and crake,oryx and crake,0385503857
3322,margaret atwood,surfacing,surfacing,0860680649
11718,margaret atwood,surfacing,surfacing,0449213757
2788,margaret atwood,the blind assassin,the blind assassin,0385475721
7131,margaret atwood,the blind assassin,the blind assassin,0385720955
3192,margaret atwood,the edible woman,the edible woman,0446314986
1049,margaret atwood,the handmaid's tale,the handmaid's tale,0449212602
8165,margaret atwood,the handmaid's tale,the handmaid's tale,0449911535
10854,margaret atwood,the handmaid's tale,the handmaid's tale,0395404258
2611,margaret atwood,the handmaid's tale : a novel,the handmaid's tale,038549081X
228,margaret atwood,the robber bride,the robber bride,0553569058
11354,margaret atwood,the robber bride,the robber bride,0385260083
6367,margaret atwood,wilderness tips,wilderness tips,0553560468
16392,margaret ball,mathemagics,mathemagics,0671877550
7317,margaret cho,i'm the one that i want,i'm the one that i want,0345440145
5409,margaret coel,the dream stalker,the dream stalker,0425165337
8503,margaret coel,the eagle catcher ( arapaho indian mysteries ),the eagle catcher,0425154637
5013,margaret coel,the lost bird,the lost bird,0425170306
5015,margaret coel,the spirit woman,the spirit woman,0425180905
5014,margaret coel,the story teller ( arapaho indian mysteries ),the story teller,042517025X
5496,margaret craven,i heard the owl call my name,i heard the owl call my name,0440343690
13599,margaret craven,i heard the owl call my name,i heard the owl call my name,0330247654
14146,margaret daley,the courage to dream,the courage to dream,0373872127
12154,margaret drabble,millstone,millstone,0140028420
11780,margaret drabble,the peppered moth,the peppered moth,0156007193
14744,margaret drabble,the seven sisters,the seven sisters,0156028751
17511,margaret edson,wit : a play,wit,0571198775
7139,margaret eleanor atwood,the edible woman,the edible woman,0860681297
17816,margaret ferguson,the norton anthology of poetry,the norton anthology of poetry,0393968200
7837,margaret forster,lady's maid,lady's maid,0449907155
5033,margaret george,"mary , called magdalene","mary , called magdalene",0142002798
12979,margaret george,"mary , called magdalene","mary , called magdalene",0670030961
6742,margaret george,"the autobiography of henry viii : with notes by his fool , will somers : a novel",the autobiography of henry viii,0312194390
10716,margaret george,the memoirs of cleopatra : a novel,the memoirs of cleopatra,0312187459
16257,margaret george,the memoirs of cleopatra : a novel,the memoirs of cleopatra,0312154305
16227,margaret laurence,the stone angel ( phoenix fiction series ),the stone angel,0226469360
7367,margaret maron,bootlegger's daughter,bootlegger's daughter,0446403237
17168,margaret maron,bootlegger's daughter,bootlegger's daughter,0892964456
194,margaret maron,killer market ( deborah knott mysteries ( paperback ) ),killer market,0446606197
15032,margaret maron,killer market : a deborah knott mystery ( deborah knott mysteries ( hardcover ) ),killer market,0892966548
11613,margaret maron,last lessons of summer,last lessons of summer,0892967803
11229,margaret maron,slow dollar ( deborah knott mysteries ( hardcover ) ),slow dollar,0892967641
15496,margaret maron,southern discomfort ( deborah knott mysteries ( paperback ) ),southern discomfort,0446400807
12596,margaret maron,uncommon clay,uncommon clay,089296720X
17167,margaret maron,up jumps the devil ( deborah knott mysteries ( hardcover ) ),up jumps the devil,0892965681
7368,margaret maron,up jumps the devil ( deborah knott mysteries ( paperback ) ),up jumps the devil,0446604062
4894,margaret mitchell,gone with the wind,gone with the wind,068483068X
12684,margaret mitchell,gone with the wind,gone with the wind,0380001098
3637,margaret mitchell,gone with the wind,gone with the wind,0446365386
12937,margaret mitchell,lost laysen,lost laysen,0684824280
5281,margaret peterson haddix,among the hidden,among the hidden,0689824750
6740,margaret peterson haddix,just ella,just ella,0689821867
7738,margaret peterson haddix,just ella,just ella,0689831285
2831,margaret peterson haddix,running out of time,running out of time,0689800843
10217,margaret peterson haddix,running out of time ( aladdin fiction ),running out of time,0689812361
13097,margaret shepherd,the art of the handwritten note : a guide to reclaiming civilized communication,the art of the handwritten note,0767907450
17986,margaret starbird,the woman with the alabaster jar : mary magdalen and the holy grail,the woman with the alabaster jar,1879181037
12681,margaret truman,murder in the white house,murder in the white house,0445046619
6644,margaret truman,murder at the fbi ( capital crime mysteries ),murder at the fbi,0449206181
240,margaret truman,murder at the kennedy center ( capital crime mysteries ),murder at the kennedy center,0449212084
512,margaret truman,murder at the library of congress ( capital crimes ( paperback ) ),murder at the library of congress,0449001954
5116,margaret truman,murder at the national cathedral ( capital crime mysteries ),murder at the national cathedral,0449219399
11977,margaret truman,murder at the national gallery ( capital crime mysteries ),murder at the national gallery,0449219380
16173,margaret truman,murder at the pentagon,murder at the pentagon,0394576047
7959,margaret truman,murder at the pentagon ( capital crime mysteries ),murder at the pentagon,0449219402
3895,margaret truman,"murder in foggy bottom ( truman , margaret , capital crimes series . )",murder in foggy bottom,0449001962
4392,margaret truman,murder in the cia ( capital crime mysteries ),murder in the cia,0449212750
13072,margaret truman,murder in the house,murder in the house,067943528X
7762,margaret truman,"murder in the house ( capital crime series , no 13 )",murder in the house,0449001725
2050,margaret truman,murder in the smithsonian ( capital crime mysteries ),murder in the smithsonian,0449209598
6643,margaret truman,murder in the supreme court ( capital crime mysteries ),murder in the supreme court,0449209695
6195,margaret truman,murder on embassy row ( capital crime mysteries ),murder on embassy row,0449206211
13667,margaret truman,murder on the potomac,murder on the potomac,0679433090
6674,margaret truman,murder on the potomac ( capital crime mysteries ),murder on the potomac,0449219372
16024,margaret weis,darksword adventures,darksword adventures,055327600X
13103,margaret weis,doom of the darksword ( darksword trilogy ),doom of the darksword,0553271644
2380,margaret weis,"dragon wing ( the death gate cycle , book 1 )",dragon wing,0553286390
1641,margaret weis,"dragons of autumn twilight ( dragonlance chronicles , vol 1 )",dragons of autumn twilight,0880381736
9193,margaret weis,dragons of autumn twilight ( dragonlance : dragonlance chronicles ),dragons of autumn twilight,0786915749
9191,margaret weis,"dragons of spring dawning ( dragonlance chronicles , book 3 )",dragons of spring dawning,0786915897
11290,margaret weis,"dragons of spring dawning ( dragonlance chronicles , vol 3 )",dragons of spring dawning,0880381752
618,margaret weis,dragons of summer flame,dragons of summer flame,0786927089
11289,margaret weis,dragons of winter night,dragons of winter night,0880381744
9192,margaret weis,dragons of winter night ( dragonlance : dragonlance chronicles ),dragons of winter night,0786916095
11293,margaret weis,"dragons of a fallen sun ( dragonlance : the war of souls , volume i )",dragons of a fallen sun,0786918071
17812,margaret weis,"dragons of a lost star ( the war of souls , volume ii )",dragons of a lost star,0786927062
16121,margaret weis,"dragons of a vanished moon ( dragonlance : war of souls , book 3 )",dragons of a vanished moon,0786929502
6432,margaret weis,forging the darksword ( darksword trilogy ),forging the darksword,0553268945
15563,margaret weis,"kender , gully dwarves , and gnomes ( dragonlance tales , vol 2 )","kender , gully dwarves , and gnomes",0880383828
11291,margaret weis,"love and war ( dragonlance tales , vol 3 )",love and war,0880385197
16721,margaret weis,second generation ( dragonlance saga ),second generation,0786902604
8946,margaret weis,"test of the twins ( dragonlance legends , vol 3 )",test of the twins,0880382678
17423,margaret weis,"test of the twins ( dragonlance legends , vol 3 )",test of the twins,0786902647
17709,margaret weis,"test of the twins ( dragonlance legends , vol . 3 )",test of the twins,0786918063
14806,margaret weis,"the lost king ( star of the guardians , vol 1 )",the lost king,0553286005
10637,margaret weis,"the reign of istar ( dragonlance tales ii , vol . 1 )",the reign of istar,1560763264
17813,margaret weis,the second generation,the second generation,0786926945
7039,margaret weis,the seventh gate ( death gate cycle ( paperback ) ),the seventh gate,055357325X
18022,margaret weis,"the soulforge ( dragonlance : the raistlin chronicles , book 1 )",the soulforge,0786913142
16464,margaret weis,"time of the twins ( dragonlance legends , vol . 1 )",time of the twins,0786918047
17283,margaret weis,"time of the twins ( dragonlance legends , vol . 1 )",time of the twins,0786902620
3617,margaret weis,"time of the twins legends 1 ( dragonlance legends trilogy , vol 1 )",time of the twins legends 1,0880382651
13577,margaret weis,"war of the twins ( dragonlance legends , vol 2 )",war of the twins,088038266X
17284,margaret weis,"war of the twins ( dragonlance legends , vol . 2 )",war of the twins,0786918055
8736,margaret wise brown,goodnight moon,goodnight moon,0064430170
8211,margaret wise brown,goodnight moon board book,goodnight moon board book,0694003611
10426,margaret wise brown,the runaway bunny,the runaway bunny,0061074292
17859,margaret wise brown,the runaway bunny,the runaway bunny,0064430189
16804,marge piercy,braided lives,braided lives,0449200183
3432,marge piercy,"he , she and it","he , she and it",0449220605
15165,marge piercy,the longings of women,the longings of women,0449223493
10696,marge piercy,three women,three women,0061014672
11326,marge piercy,woman on the edge of time,woman on the edge of time,0449210820
15564,margeret wander bonanno,strangers from the sky ( star trek ),strangers from the sky,0671640496
14215,margery allingham,the estate of the beckoning lady,the estate of the beckoning lady,0380705745
12344,margery williams,the velveteen rabbit,the velveteen rabbit,0380002558
5534,margot adler,"drawing down the moon : witches , druids , goddess - worshippers and other pagans in america today",drawing down the moon,0807032530
2595,margot adler,"drawing down the moon : witches , druids , goddess - worshippers , and other pagans in america today",drawing down the moon,014019536X
10596,margot early,"mr family ( family man ) ( harlequin superromance , no 711 )",mr family,0373707118
7555,margot livesey,eva moves the furniture,eva moves the furniture,0805068015
7874,margot livesey,eva moves the furniture : a novel,eva moves the furniture,0312421036
13346,marguerite de angeli,the door in the wall ( yearling newbery ),the door in the wall,0440402832
14533,marguerite duras,hiroshima mon amour ( folio ser . : no . 9 ),hiroshima mon amour,2070360091
12295,marguerite duras,l'amant,l'amant,2707306959
17354,marguerite duras,moderato cantabile,moderato cantabile,2707303143
1896,marguerite duras,the lover,the lover,0060975210
15402,marguerite henry,king of the wind : the story of the godolphin arabian,king of the wind,0689714866
14273,marguerite henry,king of the wind : the story of the godolphin arabian,king of the wind,0590453165
8922,marguerite henry,misty of chincoteague,misty of chincoteague,0689714920
18142,marguerite noble,filaree : a novel of american life ( zig book ),filaree,0826308252
11750,marguerite yourcenar,memoires d'hadrien : carnets de notes de memoires d'hadrien ( folio series no 921 ),memoires d'hadrien,2070369218
4382,marguerite yourcenar,the memoirs of hadrian,the memoirs of hadrian,0374503486
14617,maria amparo escandon,esperanza's box of saints : a novel,esperanza's box of saints,068485614X
18069,maria coffey,where the mountain casts its shadow : the dark side of extreme adventure,where the mountain casts its shadow,0312290659
15244,maria d . wilkes,little house in brookfield ( little house ),little house in brookfield,0064406105
13222,maria mccann,as meat loves salt ( harvest original ),as meat loves salt,015601226X
5333,maria shriver,ten things i wish i'd known before i went out into the real world,ten things i wish i'd known before i went out into the real world,0446526126
7249,mariama ba,so long a letter ( african writers series ),so long a letter,0435905554
3376,marian keyes,angels,angels,0060008024
10167,marian keyes,angels,angels,0060008032
2460,marian keyes,last chance saloon,last chance saloon,0060086246
3731,marian keyes,last chance saloon,last chance saloon,0380820293
6799,marian keyes,last chance saloon : a novel,last chance saloon,0688180728
4049,marian keyes,lucy sullivan is getting married,lucy sullivan is getting married,0060090375
6928,marian keyes,lucy sullivan is getting married,lucy sullivan is getting married,0380796104
17254,marian keyes,por los pelos,por los pelos,8484507076
826,marian keyes,rachel's holiday,rachel's holiday,0380817683
7457,marian keyes,rachel's holiday,rachel's holiday,0060090383
5603,marian keyes,sushi for beginners,sushi for beginners,0060557257
7136,marian keyes,"sushi for beginners : a novel ( keyes , marian )",sushi for beginners,0060520507
16114,marian keyes,sushi fur anfanger,sushi fur anfanger,3453212045
10538,marian keyes,"under the duvet : shoes , reviews , having the blues , builders , babies , families and other calamities",under the duvet,0060562080
12290,marian keyes,wassermelone,wassermelone,3453147235
1263,marian keyes,watermelon,watermelon,0380796090
6835,marian keyes,watermelon,watermelon,0060090367
4782,mariann fredriksson,hannas tochter,hannas tochter,3596144868
3912,marianne fredriksson,hanna's daughters ( ballantine reader's circle ),hanna's daughters,0345433491
17506,marianne williamson,"a return to love : reflections on the principles of a course in miracles""""",a return to love,0060927488
14937,marianne williamson,a return to love : relfections on the principles of a course in miracles,a return to love,0060923415
6724,marianne williamson,a woman's worth,a woman's worth,0679422188
7021,marianne williamson,a woman's worth,a woman's worth,0345386574
16740,marianne williamson,enchanted love : the mystical power of intimate relationships,enchanted love,0684870258
10436,marianne williamson,illuminata : a return to prayer,illuminata,1573225207
15169,marianne williamson,"illuminata : thoughts , prayers , rites of passage",illuminata,0679435506
4462,marianne williamson,return to love : reflections on the principles of a course in miracles,return to love,0060163747
1315,marianne williamson,the healing of america,the healing of america,068484270X
13385,marie ferrarella,a bachelor and a baby ( the mom squad ),a bachelor and a baby,0373765037
11276,marie ferrarella,"abundance of babies ( baby of the month club ) ( silhouette special edition , no . 1422 )",abundance of babies,0373244223
13880,marie ferrarella,the baby mission the mom squad,the baby mission the mom squad,0373272901
327,marilyn french,her mother's daughter,her mother's daughter,0345353625
5930,marilyn french,the women's room,the women's room,0345353617
15059,marilyn french,the women's room,the women's room,067140010X
14824,marilyn french,tochter ihrer mutter . roman,tochter ihrer mutter . roman,3499130114
13778,marilyn j . abraham,first we quit our jobs : how one work driven couple got on the road to a new life,first we quit our jobs,044050757X
16713,marilyn kaye,"the vanishing ( last on earth , book 1 )",the vanishing,0380798328
12094,marilyn manson,the long hard road out of hell,the long hard road out of hell,0060392584
18091,marilyn manson,the long hard road out of hell,the long hard road out of hell,0060987464
6183,marilyn robinson,housekeeping,housekeeping,0553262386
18124,marilyn sadler,it's not easy being a bunny ( i can read it all by myself ),it's not easy being a bunny,0394861027
17215,marilyn wallace,sisters in crime 3 ( sisters in crime ),sisters in crime 3,042512214X
13470,marilyn wallace,the best of sisters in crime,the best of sisters in crime,0425175545
13289,marilyn wann,fat ! so ? : because you don't have to apologize for your size,fat,0898159954
3772,marilynne robinson,housekeeping,housekeeping,0374525188
4617,marilynne robinson,housekeeping,housekeeping,0374173133
16627,marilynne robinson,housekeeping,housekeeping,055327872X
10895,mario cuomo,reason to believe,reason to believe,0684815176
3137,mario puzo,fools die,fools die,0451160193
4149,mario puzo,omerta,omerta,0345432401
12354,mario puzo,omerta,omerta,0375502548
6051,mario puzo,the family,the family,0061032425
2750,mario puzo,the godfather,the godfather,0451167716
12123,mario puzo,the godfather,the godfather,0099429284
17598,mario puzo,the godfather,the godfather,0399103422
10822,mario puzo,the last don,the last don,0679401431
7561,mario vargas llosa,aunt julia and the scriptwriter,aunt julia and the scriptwriter,0140248927
9429,mario vargas llosa,aunt julia and the scriptwriter,aunt julia and the scriptwriter,0571167772
17800,mario vargas llosa,cuadernos de don rigoberto,cuadernos de don rigoberto,8420482633
8171,mario vargas llosa,death in the andes,death in the andes,0140262156
3848,mario vargas llosa,la fiesta del chivo,la fiesta del chivo,8466303316
8184,mario vargas llosa,the storyteller,the storyteller,0140143491
12864,marion dane bauer,on my honor ( yearling newbery ),on my honor,0440466334
6083,marion meade,"dorothy parker , what fresh hell is this ?","dorothy parker , what fresh hell is this",0140116168
7225,marion rombauer becker,the new joy of cooking,the new joy of cooking,0684818701
6602,marion zimm bradley,thendara house,thendara house,0879978570
6629,marion zimmer bradley,black trillium,black trillium,0553290797
6597,marion zimmer bradley,city of sorcery,city of sorcery,0879979623
8298,marion zimmer bradley,darkover landfall ( darkover ),darkover landfall,0886772346
13239,marion zimmer bradley,die feuer von troia . roman,die feuer von troia . roman,3596102871
8976,marion zimmer bradley,die nebel von avalon . roman,die nebel von avalon . roman,3596282225
13414,marion zimmer bradley,die zauberin von ruwenda,die zauberin von ruwenda,345309221X
17917,marion zimmer bradley,exile's song : a novel of darkover,exile's song,0886777348
11762,marion zimmer bradley,firebrand,firebrand,0671744062
6422,marion zimmer bradley,firebrand,firebrand,0671641778
9206,marion zimmer bradley,"ghostlight ( light"" ) """,ghostlight,0312862180
1863,marion zimmer bradley,gravelight,gravelight,0312865031
6314,marion zimmer bradley,lady of avalon,lady of avalon,0451456521
13261,marion zimmer bradley,lady of avalon,lady of avalon,0670857831
15242,marion zimmer bradley,lady of avalon,lady of avalon,0140241930
11020,marion zimmer bradley,leroni of darkover,leroni of darkover,0886774942
2712,marion zimmer bradley,"les dames du lac , tome 1","les dames du lac , tome 1",2253044911
2225,marion zimmer bradley,lythande,lythande,0886771544
4254,marion zimmer bradley,mists of avalon,mists of avalon,0345333853
9205,marion zimmer bradley,priestess of avalon,priestess of avalon,0451458621
14003,marion zimmer bradley,priestess of avalon,priestess of avalon,0670910236
11012,marion zimmer bradley,rediscovery,rediscovery,0886775299
8294,marion zimmer bradley,renunciates of darkover ( darkover ),renunciates of darkover,0886774691
2845,marion zimmer bradley,"sword and sorceress 18 ( sword and sorceress , 18 )",sword and sorceress 18,0886779960
18137,marion zimmer bradley,sword and sorceress vi : an anthology of heroic fantasy,sword and sorceress vi,0886774233
12665,marion zimmer bradley,sword and sorceress x : an anthology of heroic fantasy ( sword and sorceress short fiction anthology series ),sword and sorceress x,0886775523
17987,marion zimmer bradley,sword and sorceress xix ( sword and sorceress ),sword and sorceress xix,075640049X
5798,marion zimmer bradley,sword and sorceress xvii,sword and sorceress xvii,0886778913
5964,marion zimmer bradley,"sword and sorceress , v","sword and sorceress , v",0886772885
6598,marion zimmer bradley,the catch trap,the catch trap,0345315642
3467,marion zimmer bradley,the fall of atlantis,the fall of atlantis,0671656155
1571,marion zimmer bradley,the firebrand : a novel,the firebrand,0451459245
497,marion zimmer bradley,the forest house,the forest house,0451454243
6600,marion zimmer bradley,the heirs of hammerfell,the heirs of hammerfell,0886774519
3081,marion zimmer bradley,the inheritor,the inheritor,0812516001
6545,marion zimmer bradley,tiger burning bright,tiger burning bright,0380775123
5941,marion zimmer bradley,witch hill,witch hill,0312872836
5035,marisol,"the lady , the chef , and the courtesan","the lady , the chef , and the courtesan",0060530421
17854,marissa moss,"dr . amelia's boredom survival guide : first aid for rainy days , boring errands , waiting rooms , whatever ! ( amelia )",dr . amelia's boredom survival guide,1562477943
16581,marjorie garber,dog love,dog love,068481871X
15665,marjorie holmes,three from galilee,three from galilee,0553261665
14073,marjorie kinnan rawlings,the yearling ( scribner classics ),the yearling,0020449313
15280,marjorie klein,test pattern,test pattern,0688172849
6790,marjorie leet ford,the diary of an american au pair : a novel,the diary of an american au pair,1400032644
7226,mark bittman,how to cook everything : simple recipes for great food,how to cook everything,0028610105
9748,mark anthony,"kindred spirits ( dragonlance : the meetings sextet , vol . 1 )",kindred spirits,1560760699
12434,mark barrowcliffe,girlfriend 44,girlfriend 44,0312287682
9380,mark bowden,black hawk down ( movie tie - in ),black hawk down,0451205146
544,mark bowden,black hawk down : a story of modern war,black hawk down,0871137380
9111,mark bowden,black hawk down : a story of modern war,black hawk down,0451203933
11265,mark bowden,black hawk down : a story of modern war,black hawk down,0140288503
1903,mark bricklin,pets' letters to god,pets' letters to god,1579542085
6450,mark burnell,the rhythm section,the rhythm section,0061030015
8200,mark burnett,survivor : the ultimate game,survivor,1575001438
14609,mark canter,ember from the sun,ember from the sun,0440224306
15983,mark canter,ember from the sun,ember from the sun,0385314574
3404,mark childress,crazy in alabama,crazy in alabama,0345432479
7026,mark childress,crazy in alabama,crazy in alabama,0345389247
3083,mark childress,verruckt in alabama,verruckt in alabama,3442432073
16365,mark costello,big if,big if,0156027798
7312,mark d . sanders,i hope you dance,i hope you dance,1558538445
6866,mark dunn,ella minnow pea : a novel in letters,ella minnow pea,0385722435
8539,mark dunn,ella minnow pea : a progressively lipogrammatic epistolary fable,ella minnow pea,0967370167
946,mark dunn,welcome to higby : a novel,welcome to higby,0743249887
1343,mark frost,the list of 7,the list of 7,0380720191
2766,mark fuhrman,murder in spokane,murder in spokane,0061098736
958,mark haddon,the curious incident of the dog in the night - time ( today show book club #13 ),the curious incident of the dog in the night - time,0385512104
1738,mark haddon,the curious incident of the dog in the night - time ( vintage contemporaries ),the curious incident of the dog in the night - time,1400032717
25,mark helprin,a soldier of the great war,a soldier of the great war,0380715899
5692,mark helprin,memoir from antproof case,memoir from antproof case,0380727331
574,mark helprin,winter's tale,winter's tale,0156001942
1871,mark helprin,winter's tale,winter's tale,067150987X
14871,mark helprin,winter's tale,winter's tale,0671727079
17585,mark i . pinsky,the gospel according to the simpsons : the spiritual life of the world's most animated family,the gospel according to the simpsons,0664224199
7533,mark kurlansky,cod : a biography of the fish that changed the world,cod,0140275010
14301,mark kurlansky,salt : a world history,salt,0142001619
13504,mark kurlansky,the basque history of the world,the basque history of the world,0140298517
13488,mark leyner,"et tu , babe ( vintage contemporaries )","et tu , babe",0679745068
10203,mark morris,fatal error,fatal error,0786015241
11990,mark salzman,iron and silk ( vintage departures ),iron and silk,0394755111
11,mark salzman,lying awake,lying awake,0375406328
1486,mark salzman,lying awake,lying awake,0375706062
7583,mark salzman,the laughing sutra : a novel ( vintage contemporaries ),the laughing sutra,0679735461
7574,mark salzman,the soloist ( vintage contemporaries ),the soloist,0679759263
4188,mark twain,a connecticut yankee in king arthur's court ( bantam classic ),a connecticut yankee in king arthur's court,0553211439
